RefDes	Value	Name	Part	Pattern
B3	100n	CAP_0805	Part 1	CAP_0805_NP
B6	100n	CAP_0805	Part 1	CAP_0805_NP
B7	100n	CAP_0805	Part 1	CAP_0805_NP
B12	100n	CAP_0805	Part 1	CAP_0805_NP
Banana1	Freq CV	B1	Part 1	Square-Round
Banana2	Scan CV	B2	Part 1	Square-Round
Banana3	Index CV	B3	Part 1	Square-Round
Banana4	Effect CV	B4	Part 1	Square-Round
Banana5	1v-oct in	B5	Part 1	Square-Round
Banana6	Gate	B6	Part 1	Square-Round
Banana7	Out	B7	Part 1	Square-Round
Banana8	PWM-OUT	B8	Part 1	Square-Round
C31	470n	CAP_0805	Part 1	CAP_0805_NP
CV-A-ATT	B50k	ALPHA-9MMAF2 (ALPHA-9MM)	Part 1	9mm pot (EVUF)
CV-B-ATT	B50k	ALPHA-9MMAF2 (ALPHA-9MM)	Part 1	9mm pot (EVUF)
CV-C-ATT	B50k	ALPHA-9MMAF2 (ALPHA-9MM)	Part 1	9mm pot (EVUF)
CV-MOD-ATT	B50k	ALPHA-9MMAF2 (ALPHA-9MM)	Part 1	9mm pot (EVUF)
D1	WP710A10ID	LED-C	Part 1	LED-3mm
D2	WP710A10ID	LED-A	Part 1	LED-3mm
D3	WP710A10ID	LED-B	Part 1	LED-3mm
D4	WP710A10ID	LED-LOK	Part 1	LED-3mm
IC4	LM4040 10.0V	LM4040C10IDBZR	Part 1	DBZ_R-PDSO-G3
J1	HEADER	640453-5	Part 1	HDR-1x5T/2.54/12x2
J2	HEADER	87758-40	Part 1	HDR-2x20T/2.54x2.54/51x5
J3	HEADER	640453-5	Part 1	HDR-1x5T/2.54/12x2
POT-A	B10K	ALPHA-9MMAF2 (ALPHA-9MM)	Part 1	9mm pot (EVUF)
POT-B	B10K	ALPHA-9MMAF2 (ALPHA-9MM)	Part 1	9mm pot (EVUF)
POT-C	B10K	ALPHA-9MMAF2 (ALPHA-9MM)	Part 1	9mm pot (EVUF)
POT-MOD	B10K	ALPHA-9MMAF2 (ALPHA-9MM)	Part 1	9mm pot (EVUF)
R53	2k REPLACE WITH 1.2K	RES_0805	Part 1	RES_0805
SW1	TL2201EEZB	SW-EFX-A	Part G$1	TL2201EEZB latching
SW2	TL2201EEZB	SW-EFX-B	Part G$1	TL2201EEZB latching
SW3	TL2201OAZB	SW-EFX	Part G$2	TL2201OAZB momentary
SW4	TL2201EEZB	SW-EFX-C	Part G$1	TL2201EEZB latching
SW5	TL2201EEZB	SW-CX	Part G$1	TL2201EEZB latching
SW6	TL2201EEZB	SW-FM	Part G$1	TL2201EEZB latching
SW7	TL2201EEZB	SW-FIX	Part G$1	TL2201EEZB latching
SW8	TL2201EEZB	SW-SHAPE	Part G$1	TL2201EEZB latching
TR1	100K	3296W	Part 1	3296W TRIMPOT
VR1	B100K	POT-FREQ-CV	Part 1	9mm pot (EVUF)
VR2	B100K	POT-SCAN-CV	Part 1	9mm pot (EVUF)
VR3	B100K	POT-INDEX-CV	Part 1	9mm pot (EVUF)
VR4	B100K	POT-EFFECT-CV	Part 1	9mm pot (EVUF)
VR5	B10K	POT-TUNE	Part 1	9mm pot (EVUF)
VR7	B10K	POT-FINE	Part 1	9mm pot (EVUF)
VR8	B10K	POT-SCAN	Part 1	9mm pot (EVUF)
VR12	B10K	POT-EFX	Part 1	9mm pot (EVUF)
VR13	B10K	POT-INDEX	Part 1	9mm pot (EVUF)
VR14	B10K	POT-FREQ	Part 1	9mm pot (EVUF)
